Contract,PaymentMethod_Electronic check,InternetService_Fiber optic,TotalCharges,TechSupport,PaperlessBilling,Dependents,SeniorCitizen,PhoneService,gender_Male,Churn
1,0,1,2570.2,0,0,1,0,1,1,0
1,1,1,74.7,1,0,0,1,1,1,0
3,0,0,5714.25,1,1,1,0,1,1,0
1,0,1,7107.0,0,1,0,0,1,0,0
3,0,1,7459.05,0,1,0,0,1,1,0
1,1,1,927.35,0,1,0,0,1,0,1
2,0,0,4748.7,1,1,1,0,1,1,0
1,0,0,113.85,0,0,0,0,1,1,1
3,0,0,1107.2,0,0,0,0,1,1,0
1,1,1,2514.5,0,1,0,1,1,0,1
1,0,0,20.2,0,0,0,0,1,1,0
1,1,0,19.45,0,0,1,0,1,0,0
2,0,1,3605.6,1,0,0,0,1,1,0
2,0,0,3027.25,0,0,0,1,0,0,0
3,0,1,7611.85,1,1,0,0,1,1,1
1,0,0,100.2,0,0,0,0,0,1,0
2,1,1,7303.05,0,1,1,0,1,0,0
2,0,0,927.65,0,0,0,0,0,0,0
2,0,1,3921.3,0,0,0,0,1,1,0
3,0,0,1363.25,0,0,1,0,1,1,0
1,1,1,5238.9,0,1,0,0,1,1,1
2,0,0,3042.25,1,0,0,0,1,0,0
1,1,1,3954.1,0,1,0,0,1,0,0
1,1,1,2868.15,0,1,0,1,1,0,1
3,1,0,3423.5,1,1,1,0,0,0,0
1,1,1,248.4,0,0,1,0,1,1,0
3,0,0,1126.35,0,0,0,0,0,0,0
1,1,1,1064.65,0,1,1,0,1,0,1
3,0,0,835.15,0,0,0,0,1,0,0
1,0,1,2151.6,1,1,1,0,1,1,0
2,0,1,5515.45,0,1,1,0,1,0,0
1,0,0,112.75,0,0,0,0,1,0,0
1,1,1,229.55,0,1,0,0,1,1,1
1,0,0,350.35,0,0,1,0,1,0,0
1,0,0,62.9,0,0,1,0,1,0,0
3,1,1,3027.65,1,1,0,0,1,1,0
1,1,1,2135.5,0,1,0,1,1,0,1
3,0,0,1723.95,0,1,0,0,1,1,0
1,0,0,19.75,0,0,0,0,1,1,0
2,1,0,3985.35,0,1,0,1,0,1,0
1,1,1,1215.65,0,1,0,0,1,0,0
1,0,0,1502.65,0,1,1,0,0,0,1
3,0,0,3260.1,1,0,0,0,1,1,0
1,1,0,35.45,0,1,0,0,0,1,1
1,1,0,81.25,0,0,0,0,1,1,1
3,0,0,1188.2,0,1,0,0,1,0,0
1,0,1,1778.5,0,1,0,0,1,0,0
3,0,0,1277.75,0,0,1,0,1,0,0
3,0,0,1170.55,0,1,1,0,1,1,0
1,0,1,70.45,0,1,0,1,1,0,1
3,0,0,6425.65,1,1,1,1,1,0,0
1,1,0,563.65,1,0,0,0,1,0,1
3,0,1,5971.25,0,1,0,0,1,0,0
2,0,1,5289.05,0,1,0,0,1,1,0
3,0,0,1756.2,0,0,0,1,1,1,0
3,0,1,6416.7,1,1,1,0,1,0,0
2,0,0,61.35,0,0,0,0,1,1,0
1,1,0,45.65,0,1,0,0,1,1,1
2,0,0,1929.95,0,0,1,0,1,1,0
1,0,0,1071.4,1,1,1,0,1,1,0
1,1,0,564.35,1,1,1,0,1,0,0
1,0,1,655.5,0,0,0,0,1,1,1
2,0,1,7930.55,0,1,1,0,1,0,0
3,1,0,5215.25,1,0,1,0,1,1,0
1,0,0,113.5,0,0,1,0,1,0,0
1,0,1,1152.8,0,1,1,0,1,0,0
1,0,1,1821.95,0,1,0,0,1,0,0
2,0,0,419.9,0,0,1,0,1,1,0
3,0,0,1024.0,0,0,1,0,1,1,0
3,0,0,251.6,0,0,0,0,1,1,0
1,1,0,764.55,0,1,1,0,1,0,0
1,1,1,1592.35,0,0,0,0,1,0,1
1,1,1,135.2,0,1,0,0,1,0,0
3,0,0,3958.25,1,1,0,0,1,1,0
2,0,0,233.9,0,0,1,0,1,0,0
3,0,0,1363.45,0,0,0,0,1,1,0
1,0,1,273.0,0,1,0,0,1,0,1
3,0,0,6254.45,1,1,0,0,1,1,0
1,1,0,2651.2,0,1,0,1,0,1,1
1,1,0,321.4,0,0,1,0,1,0,0
2,0,1,3539.25,1,1,0,0,1,1,0
1,1,1,242.8,1,1,0,0,1,0,1
3,0,0,1181.75,1,0,0,0,1,1,0
2,0,1,5000.2,0,1,0,0,1,0,1
2,0,0,654.55,0,0,0,0,1,0,0
1,1,0,780.2,0,0,0,0,1,0,0
1,0,1,1145.7,0,1,0,1,1,0,1
1,0,1,503.6,0,0,0,1,1,0,1
1,0,1,1559.25,0,1,1,0,1,0,0
2,0,0,1252.0,0,1,0,0,1,1,0
1,0,0,29.95,0,0,0,0,0,0,1
1,0,0,45.3,0,0,0,0,1,0,0
1,0,1,662.65,0,0,0,0,1,1,1
2,0,0,2453.3,0,0,1,0,1,1,0
1,1,1,1111.65,0,1,0,0,1,0,1
1,1,0,24.8,0,1,0,0,0,0,1
1,0,0,1023.85,0,1,0,0,1,1,0
1,1,0,82.15,1,0,0,0,0,1,0
2,1,0,244.8,0,0,0,0,1,0,0
1,0,0,2379.1,0,0,0,0,1,0,0
2,0,0,3173.35,1,1,1,0,1,1,0
1,1,1,531.0,0,1,0,0,1,1,1
3,0,0,1375.4,0,0,1,0,1,0,0
3,0,1,8129.3,0,0,1,0,1,0,0
3,0,0,1192.7,0,0,1,0,1,1,0
1,1,1,1901.65,1,1,0,0,1,0,0
3,0,0,587.4,0,1,1,0,1,1,0
1,1,1,6519.75,1,1,0,0,1,1,0
3,0,1,8041.65,1,1,1,0,1,1,0
1,0,0,20.75,0,0,1,0,1,1,0
2,0,1,2681.15,1,1,0,0,1,0,0
1,0,1,1112.3,1,1,0,0,1,0,0
3,1,1,7405.5,0,0,1,0,1,1,0
1,0,1,1033.95,0,1,1,0,1,1,0
1,0,1,2958.95,0,0,0,0,1,1,0
2,0,1,2684.85,1,1,0,0,1,0,0
3,0,0,4179.2,1,1,1,0,0,1,0
1,1,1,79.9,0,0,0,0,1,1,1
1,1,1,1934.45,1,1,0,0,1,0,1
2,0,1,6654.1,1,1,0,0,1,1,0
1,0,0,84.5,0,1,0,0,1,1,1
1,1,0,25.25,0,0,0,0,0,0,0
3,0,0,1124.2,0,0,1,0,1,1,0
2,1,0,540.05,0,0,1,0,1,0,0
1,1,1,1975.85,0,0,0,1,1,1,0
1,0,0,3437.45,0,1,0,0,0,0,0
3,0,0,3139.8,1,0,1,0,0,1,0
3,0,0,3789.2,1,1,0,0,0,1,0
3,0,0,5324.5,1,1,1,0,1,1,0
1,0,1,624.6,0,1,0,0,1,0,0
1,1,1,268.35,0,1,0,0,1,0,1
3,0,0,1836.9,0,0,0,0,1,0,0
2,1,0,20.2,0,1,1,0,1,1,0
1,0,0,179.35,1,0,0,0,1,1,1
2,0,0,219.35,0,1,0,0,1,0,0
2,0,0,1288.75,0,1,0,0,0,1,0
2,0,0,2545.75,1,1,1,0,1,0,0
1,0,0,55.2,0,0,0,0,1,0,1
1,0,1,2723.15,1,1,0,0,1,1,0
3,0,0,4107.25,1,1,1,0,1,0,0
3,0,1,5760.65,1,1,0,0,1,1,0
1,0,1,4747.5,1,1,0,0,1,1,0
1,0,1,84.6,0,1,0,0,1,1,1
3,0,0,1566.9,0,0,0,0,1,0,0
1,1,0,702.0,0,0,0,0,1,0,0
1,0,0,114.1,0,1,0,0,1,1,1
3,0,0,299.05,1,1,0,0,0,0,0
1,1,1,1305.95,0,1,0,0,1,1,0
1,1,1,1120.3,0,1,0,1,1,0,1
3,0,0,284.35,0,0,0,0,1,1,0
3,0,0,6350.5,1,0,0,0,1,0,0
3,0,1,7878.3,1,0,0,0,1,1,0
2,0,0,3187.65,1,1,1,0,1,0,0
1,1,1,6126.15,0,0,0,1,1,0,0
1,1,0,731.3,0,1,0,1,1,0,0
1,1,1,273.4,0,0,0,1,1,1,0
2,0,0,2531.8,0,0,0,0,1,1,0
1,1,1,1074.3,0,1,0,1,1,1,1
1,0,0,48.55,0,1,0,0,1,1,1
2,1,1,4298.45,0,1,0,0,1,1,0
2,1,1,4619.55,0,1,0,0,1,0,0
1,1,1,147.15,0,0,1,0,1,0,1
1,1,0,40.2,0,0,0,1,0,1,1
2,0,0,2633.3,1,0,1,0,1,1,0
1,0,0,193.05,0,1,0,0,1,1,0
3,1,0,4103.9,1,1,1,0,0,0,0
3,0,1,7008.15,1,0,1,0,1,0,0
2,0,1,5791.1,1,0,0,0,1,1,0
1,0,0,80.55,0,1,0,0,1,0,1
1,1,0,1228.65,0,1,0,1,0,0,0
1,1,0,132.2,0,1,0,1,0,1,1
1,1,1,1364.3,0,1,0,1,1,1,1
1,1,1,4925.35,0,1,0,1,1,1,0
3,0,0,1520.1,1,1,0,0,0,0,0
2,0,1,5032.25,1,0,0,0,1,0,0
3,0,0,5526.75,1,0,1,0,1,0,0
3,0,0,1195.25,0,0,0,0,1,1,0
1,0,1,2007.25,1,1,0,1,1,0,0
3,0,0,1099.6,0,0,0,0,1,1,1
3,0,0,1732.95,0,1,0,0,1,0,0
1,1,1,1511.2,1,1,0,1,1,0,1
3,1,0,3450.15,1,1,0,0,1,1,0
1,0,0,24.8,0,0,0,0,0,1,1
1,1,1,2172.05,1,0,0,1,1,1,0
1,0,1,70.6,0,0,0,0,1,1,1
1,1,1,401.1,1,1,0,0,1,1,1
1,1,1,5624.85,0,1,0,0,1,0,1
1,0,0,1339.8,0,1,0,1,1,1,0
1,1,0,771.95,1,1,0,0,0,1,0
1,0,0,244.75,0,0,0,0,1,0,0
1,0,0,322.9,0,0,0,0,1,0,0
1,1,0,498.25,0,0,0,0,1,0,0
1,0,0,25.4,0,0,1,0,1,0,0
1,0,0,3687.75,0,0,0,0,1,0,0
1,0,1,1779.95,0,0,1,0,1,1,1
2,0,1,1783.6,0,1,0,0,1,0,0
1,1,0,927.15,0,1,0,0,1,0,0
1,1,1,70.0,0,0,0,0,1,1,1
1,1,1,606.55,0,1,0,1,1,1,1
1,0,0,435.4,0,1,0,0,1,1,1
1,1,1,1712.7,0,1,0,1,1,1,1
2,0,0,2021.2,0,0,0,0,1,1,0
2,0,1,1940.8,1,0,1,0,1,1,0
1,1,1,567.8,0,1,0,1,1,0,0
1,0,0,220.35,0,0,0,0,1,0,0
1,0,0,20.25,0,0,0,0,1,1,0
3,1,1,5436.45,0,0,1,0,1,0,0
1,1,1,3437.5,0,1,0,1,1,1,0
1,1,0,3015.75,0,1,1,0,1,1,0
1,0,1,73.6,0,1,1,0,1,0,1
2,0,0,1509.8,0,1,0,0,1,1,0
1,1,1,396.1,0,1,0,1,1,0,1
1,1,1,356.65,1,1,0,0,1,1,0
3,0,0,4109.0,1,0,1,0,0,0,0
1,0,1,3141.7,0,1,1,0,1,1,0
3,0,0,1229.1,0,0,1,0,1,1,0
1,1,1,2303.35,0,1,0,1,1,1,1
3,0,0,2054.4,1,0,1,0,1,1,0
1,1,1,3741.85,0,0,1,1,1,1,0
2,0,0,3682.45,0,1,1,0,1,1,0
1,0,0,19.25,0,1,0,0,1,0,0
1,1,1,1886.25,1,1,0,0,1,0,0
3,0,1,4895.1,1,0,0,0,1,0,0
1,1,1,341.6,0,1,0,1,1,0,0
1,1,1,415.55,0,1,0,0,1,1,1
2,0,1,5686.4,1,0,1,0,1,1,0
3,0,0,1355.1,0,1,0,0,1,1,0
2,0,0,3058.65,1,0,1,0,1,0,1
1,1,1,2231.05,0,1,0,1,1,1,1
1,0,1,3236.35,1,1,0,0,1,1,0
2,0,0,4350.1,1,0,0,1,1,0,1
3,1,0,4264.0,1,1,1,0,0,0,0
1,1,0,44.8,0,1,0,0,1,1,0
2,0,0,422.3,0,0,1,0,1,0,0
3,0,0,4176.7,1,1,0,0,0,1,0
1,0,1,5138.1,1,1,0,0,1,0,0
1,1,1,880.05,1,1,0,1,1,0,0
1,1,1,139.05,0,1,0,1,1,0,1
1,1,0,973.65,0,1,1,1,0,0,0
1,0,1,1470.05,0,1,0,1,1,0,0
3,0,0,739.35,0,1,1,0,1,0,0
2,0,0,161.95,0,1,0,0,1,0,0
2,0,1,4422.95,0,1,0,0,1,1,0
1,1,1,511.25,0,1,0,0,1,0,1
1,0,1,155.8,0,0,0,0,1,0,1
2,0,0,5293.95,1,1,1,0,1,1,1
3,1,1,4759.85,0,1,0,0,1,0,1
3,1,0,6148.45,1,1,0,0,1,0,0
1,0,1,3565.65,0,1,0,0,1,0,0
1,1,1,6603.0,0,1,0,0,1,1,1
1,0,0,1830.1,1,0,0,1,1,0,0
3,0,0,6223.8,1,0,0,0,1,0,0
1,0,0,4508.65,0,1,1,0,1,0,0
2,0,0,1328.15,0,0,0,0,1,1,0
2,0,0,865.0,0,1,1,0,1,0,0
1,1,1,72.1,0,1,0,1,1,0,0
1,1,1,168.2,0,1,0,0,1,0,1
3,0,0,1303.5,0,0,0,0,1,0,0
1,1,0,996.85,0,1,0,0,0,0,0
2,0,1,6430.9,0,0,0,1,1,0,0
3,0,0,2278.75,1,1,1,0,1,1,0
2,0,0,681.4,0,0,1,0,1,1,0
1,1,1,574.35,0,1,0,1,1,0,0
1,0,1,371.9,0,1,1,0,1,1,1
1,1,0,840.1,0,1,0,1,0,0,1
1,0,1,846.0,0,1,0,0,1,0,1
1,1,0,889.0,0,1,0,1,1,0,0
3,1,1,6823.4,1,1,0,0,1,1,0
1,0,0,805.1,0,0,0,1,0,1,1
2,1,1,4016.75,0,0,1,0,1,1,0
1,0,0,83.75,0,0,1,0,1,1,0
3,0,1,3959.15,1,1,0,0,1,0,0
2,0,0,2878.55,0,0,0,0,1,1,0
3,0,0,945.7,0,1,0,0,1,0,0
1,0,1,1373.05,1,1,0,0,1,1,0
1,0,1,492.55,0,0,0,0,1,1,1
1,0,0,1406.0,0,1,0,0,1,1,0
1,0,0,19.15,0,0,0,0,1,0,0
2,0,1,6962.85,0,1,0,0,1,1,0
3,0,1,8126.65,1,1,1,0,1,1,0
2,0,0,690.25,0,0,1,0,1,1,0
1,1,1,181.5,0,1,0,0,1,1,1
3,0,0,830.8,1,0,1,0,0,1,0
2,0,1,5608.4,1,1,1,0,1,0,0
1,0,1,3646.8,0,1,0,0,1,1,0
2,0,0,3662.25,1,0,0,0,1,0,0
1,0,0,25.35,0,0,0,0,0,1,0
1,0,1,2566.5,1,1,0,0,1,0,1
3,1,0,5308.7,1,0,0,0,1,0,0
2,1,1,1410.25,1,0,0,0,1,1,0
2,0,1,3339.05,1,1,0,0,1,0,0
1,0,0,50.65,0,0,0,0,1,1,1
3,0,0,4732.35,1,1,1,1,0,1,0
1,0,1,90.85,0,1,0,0,1,1,1
3,0,1,5067.45,0,1,0,0,1,1,0
1,0,0,214.75,0,0,0,1,1,1,1
1,1,1,4874.7,0,1,0,1,1,0,1
2,1,0,2348.45,1,1,0,0,0,0,0
1,0,1,4063.0,0,1,0,0,1,1,0
1,1,0,44.0,0,0,1,0,1,1,0
1,0,1,2595.25,0,1,0,0,1,0,0
1,0,0,2309.55,1,1,0,1,1,1,0
1,1,0,89.3,0,1,0,1,1,0,0
1,0,0,367.55,0,0,0,0,1,0,0
1,1,1,3944.5,0,1,0,1,1,0,0
3,0,0,5965.95,1,1,0,0,1,0,0
1,0,1,3694.7,1,1,0,1,1,1,0
1,0,1,2524.45,0,1,0,0,1,0,1
1,1,0,1803.7,1,1,0,1,0,1,0
2,0,0,415.1,0,0,1,0,1,0,0
2,0,0,624.15,0,0,0,0,1,0,0
2,0,0,237.7,0,0,0,0,1,0,0
1,0,1,7007.6,0,1,1,0,1,1,1
2,0,0,3848.8,1,0,0,0,1,0,0
3,0,0,419.4,0,1,0,0,1,1,0
3,0,0,1468.75,0,1,0,0,1,1,0
2,0,1,5812.0,0,1,1,0,1,1,0
1,0,1,2861.45,0,1,1,1,1,1,0
1,0,0,19.9,0,1,0,0,1,0,1
1,0,0,19.6,0,1,0,0,1,1,1
1,1,1,233.7,0,1,0,1,1,1,1
2,0,0,1066.15,0,1,0,0,1,0,0
1,1,1,2149.05,0,1,0,0,1,0,0
1,1,1,4473.0,1,1,0,0,1,1,0
1,0,1,3545.05,0,1,0,1,1,0,0
1,0,1,1195.75,0,0,1,0,1,0,0
3,0,1,6858.9,1,1,0,0,1,1,0
3,0,0,1024.7,0,1,1,0,1,0,0
1,1,1,1845.9,0,0,1,0,1,0,1
1,0,1,75.3,0,1,0,1,1,0,1
1,0,0,132.25,0,1,1,0,1,0,0
1,0,1,515.45,0,1,0,0,1,0,0
2,0,1,2830.45,1,0,1,0,1,1,0
2,0,0,1110.5,0,0,1,0,1,1,0
1,0,0,449.3,0,0,0,0,0,0,0
1,0,0,2838.55,0,0,0,1,1,0,0
2,0,1,5376.4,0,1,0,1,1,1,0
1,1,1,858.6,0,0,1,0,1,0,0
1,0,1,1395.05,0,1,0,0,1,1,0
2,0,0,3975.7,1,0,0,0,1,0,0
1,0,0,1182.55,0,1,1,0,1,0,1
3,0,0,4784.45,1,1,1,0,0,0,0
1,1,0,119.5,0,0,0,0,1,1,0
1,0,0,518.9,0,1,0,0,1,1,1
3,1,0,899.45,0,1,0,0,1,1,0
1,0,0,1183.8,1,1,0,0,0,0,0
2,0,0,720.05,0,0,0,0,1,1,0
3,0,1,8468.2,1,1,1,0,1,1,0
1,0,1,3161.2,1,1,0,0,1,1,0
1,0,0,55.05,1,0,0,0,1,1,0
1,1,1,1882.55,1,1,1,0,1,0,0
1,0,1,5070.4,0,0,0,1,1,0,0
2,0,1,6049.5,1,1,0,0,1,0,0
1,1,0,1166.7,0,0,1,0,1,0,0
1,1,1,2937.65,0,0,0,0,1,0,0
1,1,1,6396.45,0,1,0,0,1,0,1
1,0,1,69.55,0,0,0,0,1,0,1
3,0,0,1270.25,0,1,1,0,1,0,0
1,1,1,759.55,0,1,1,0,1,1,0
3,0,1,7611.55,1,0,1,0,1,1,0
2,0,0,1642.75,0,0,0,0,1,0,0
1,0,0,1545.4,1,1,0,1,1,0,0
1,0,0,3582.4,1,1,0,0,0,1,0
1,1,1,2227.1,0,1,1,0,1,0,1
3,0,0,1417.9,0,0,0,0,1,0,0
1,1,1,2494.65,0,1,0,0,1,0,0
2,0,1,2768.35,1,0,1,0,1,1,0
3,0,0,2369.3,1,0,1,0,1,0,0
1,0,0,38.0,0,0,0,0,1,1,0
1,1,1,75.1,0,1,0,0,1,1,0
1,0,0,100.9,0,0,1,0,1,1,0
1,0,0,1614.05,0,1,0,0,1,0,0
1,1,1,385.9,0,0,1,0,1,1,1
1,1,1,673.25,0,1,0,0,1,1,1
3,0,1,8404.9,1,1,0,1,1,1,0
3,0,0,2799.75,1,1,0,0,0,1,0
3,1,1,6538.45,1,0,0,1,1,1,0
2,1,1,6588.95,0,1,1,0,1,1,0
3,0,0,868.1,0,0,1,0,1,0,0
1,1,0,734.35,0,0,1,0,1,0,1
2,0,0,330.6,0,0,0,1,1,0,0
1,1,0,55.0,0,1,0,0,1,1,1
1,0,0,564.4,0,1,0,0,1,1,0
1,0,0,1315.35,1,0,0,0,1,1,0
1,1,1,74.7,0,1,1,0,1,0,1
1,1,1,1861.5,0,1,0,0,1,1,1
1,1,0,2747.2,1,1,1,1,1,1,0
1,1,0,554.05,1,1,1,0,1,0,0
1,1,1,453.4,1,1,0,0,1,1,1
1,0,1,994.8,0,0,1,0,1,0,1
3,0,0,225.75,0,0,1,0,1,1,0
1,0,0,2145.0,0,1,0,0,0,0,1
1,1,1,1671.6,0,1,0,1,1,0,0
2,0,1,8003.8,1,1,0,0,1,0,0
1,1,1,680.05,0,1,1,0,1,0,1
3,0,1,6130.85,0,1,1,0,1,1,0
1,1,1,1415.0,0,1,0,0,1,0,0
3,0,0,6201.95,1,1,0,0,1,1,0
3,0,0,2283.3004408418656,1,1,1,0,0,0,0
1,1,1,74.35,0,1,1,0,1,1,1
3,0,1,6597.25,0,1,1,0,1,1,0
1,1,0,114.15,0,1,0,0,1,0,0
1,1,1,139.4,0,1,0,0,1,0,1
2,0,0,3902.6,0,0,0,1,1,1,0
1,0,0,20.4,0,0,0,0,1,1,0
2,0,0,903.6,0,1,0,0,0,1,1
1,0,0,1785.65,1,0,0,0,1,1,0
3,0,0,1397.65,0,0,0,0,1,0,0
1,1,0,131.05,0,0,0,1,0,0,1
1,0,1,1238.45,0,1,0,0,1,0,1
2,0,1,3899.05,1,0,0,0,1,1,0
3,0,1,5676.0,0,1,0,1,1,0,0
2,0,0,4543.15,0,0,1,0,1,0,0
1,0,1,4326.8,1,1,1,0,1,0,0
3,0,0,5502.55,1,1,1,0,1,1,0
1,1,1,1782.4,0,1,0,1,1,0,1
1,0,1,851.8,0,1,1,0,1,1,0
1,1,1,167.5,1,1,0,0,1,1,1
1,1,1,502.85,1,1,1,0,1,0,1
1,0,0,19.85,0,0,0,0,1,0,0
2,0,1,1818.3,1,0,1,1,1,1,0
1,1,1,6300.15,0,1,0,0,1,1,0
1,1,1,334.8,0,1,0,1,1,0,1
1,0,1,5916.95,1,1,0,0,1,0,0
1,0,1,2852.4,1,1,0,0,1,1,0
1,0,1,4131.95,1,0,0,0,1,1,1
2,0,0,1546.3,1,0,0,0,1,0,0
1,1,1,302.6,0,0,0,1,1,0,0
1,0,1,1929.35,0,1,0,1,1,0,1
1,0,0,265.45,0,0,0,0,1,1,0
2,1,1,6989.45,0,1,1,0,1,1,0
1,1,0,1442.0,0,1,0,1,1,1,0
1,0,1,4713.4,0,0,1,0,1,1,0
1,0,1,1758.6,0,0,0,0,1,0,1
1,1,1,3480.0,0,1,0,0,1,1,1
2,1,1,4738.3,0,0,0,0,1,1,0
3,0,1,8399.15,1,1,1,1,1,1,0
2,0,1,5430.35,1,1,1,0,1,1,0
3,0,0,686.95,0,0,1,0,1,1,0
3,0,1,5706.3,1,1,0,1,1,0,0
3,0,0,490.65,0,1,1,0,1,0,0
3,0,0,1360.25,0,0,1,0,1,1,0
1,1,1,174.45,0,1,0,0,1,1,0
2,0,1,7379.8,1,1,1,1,1,1,0
1,1,1,85.0,0,1,0,0,1,0,1
1,1,1,1021.75,0,1,0,0,1,1,0
1,0,1,5029.05,0,1,0,0,1,0,0
2,0,0,1955.4,0,1,1,0,1,0,0
2,0,1,6744.2,0,1,0,0,1,0,0
3,0,0,4946.7,1,1,1,0,1,0,0
3,0,1,8248.5,1,1,1,0,1,0,0
1,0,0,601.6,0,1,0,0,1,0,0
1,0,0,19.55,0,0,0,0,1,0,0
1,0,1,834.1,0,1,0,0,1,1,1
1,0,0,597.0,1,1,0,0,0,1,1
2,0,1,2647.2,0,1,1,0,1,1,0
1,0,1,3266.0,0,1,1,0,1,1,1
2,0,1,6744.25,1,1,0,0,1,0,0
2,0,1,5265.5,0,1,0,1,1,1,0
1,0,0,311.6,0,0,0,0,1,1,0
3,0,1,7966.9,0,1,1,0,1,1,0
3,0,1,8220.4,1,1,1,0,1,0,0
3,0,0,1153.25,0,0,1,0,1,1,0
3,0,0,514.75,0,1,1,0,1,0,0
1,0,1,2596.15,0,1,0,0,1,1,1
2,0,0,3808.0,0,1,1,0,1,0,0
1,0,0,19.9,0,0,0,0,1,0,0
2,0,0,2708.2,1,0,0,0,1,1,0
1,1,1,760.05,0,0,0,0,1,1,0
1,1,0,49.3,1,1,0,0,1,1,0
2,1,1,6033.3,1,1,0,0,1,1,0
1,0,0,89.05,0,1,0,0,1,1,0
